"","X","ST166Q02HA","ST166Q05HA","ST216Q01HA","ST216Q02HA","ST216Q03HA","FL167Q01HA","FL167Q02HA","FL167Q04HA","GRADE","MISCED","FISCED","BMMJ1","BFMJ2","BSMJ","literacy","sisced","COGFLEX","FLFAMILY","METASPAM"
"1899",76816,6,2,2,2,3,1,1,1,0,2,1,31.08,57.03,86.72,515.0138,6,-0.08687352,-1.691467,-0.7845913
"1900",76820,6,6,3,3,3,1,1,1,-1,4,4,26.64,25.51,31.08,432.0529,2,0.9144362,-1.691467,0.5537946
"1901",76821,6,6,3,2,2,3,3,3,0,3,6,44.94,50.73,81.92,662.7694,6,0.04681409,0.4989672,0.5537946
"1902",76823,6,6,3,3,3,3,3,3,0,6,6,84.14,68.7,77.1,464.512,6,0.9144362,0.4989672,0.5537946
"1903",76824,6,5,3,1,3,2,1,3,0,6,5,86.72,27.52,69.24,506.1123,6,-0.1116825,-0.9280089,0.02110125
"1904",76830,6,6,1,1,1,4,4,4,0,1,1,17,16.34,68.77,552.6561,6,-2.244308,1.618794,0.5537946
"1905",76835,4,3,3,3,3,1,1,1,-1,2,2,13.24,28.52,62.45,527.4433,2,0.9144362,-1.691467,-0.7829273
"1906",76836,3,3,1,1,1,2,2,2,0,4,4,31.08,39.02,88.96,482.4182,6,-2.244308,-0.562244,-0.9404002
"1907",76837,5,4,2,2,2,3,3,3,-2,2,1,16.5,13.87,86.72,314.8422,1,-0.4516872,0.4989672,-0.3730681
"1908",76838,6,6,3,4,4,1,1,3,0,4,4,50.15,50.15,88.7,672.6084,6,1.688061,-1.200891,0.5537946
"1909",76839,6,3,1,1,1,3,3,4,0,6,6,44.94,65.01,70.1,602.3169,6,-2.244308,0.8083498,-0.4992788
"1910",76840,4,5,2,2,4,1,2,2,0,6,4,82.41,51.5,70.1,569.0084,6,0.2694896,-0.9420773,-0.2502496
"1911",76842,3,3,2,2,4,4,3,2,0,2,2,28.48,30.34,88.7,503.4151,6,0.2694896,0.8661966,-0.9404002
"1912",76844,6,6,3,3,2,4,4,4,0,6,6,50.73,62.45,81.92,582.8435,6,0.5565133,1.618794,0.5537946
"1913",76845,6,6,2,1,1,3,3,4,0,3,4,39.04,65.01,80.46,622.5382,6,-1.382489,0.8083498,0.5537946
"1914",76847,6,3,4,3,4,3,3,3,0,4,4,26.64,30.78,70.5,525.9174,6,1.669462,0.4989672,-0.4992788
"1915",76848,5,5,2,2,2,3,3,3,0,5,5,76.65,55.25,65.23,537.5382,6,-0.4516872,0.4989672,-0.1234764
"1916",76849,6,6,3,2,3,3,3,2,0,1,2,13.24,30.78,88.7,541.2162,6,0.400682,0.242359,0.5537946
"1917",76851,6,5,2,1,1,2,2,2,0,2,3,24.98,23.41,43.85,469.3144,6,-1.382489,-0.562244,0.02110125
"1918",76854,3,4,2,2,2,2,2,2,0,1,2,26.64,23.8,29.18,577.0577,6,-0.4516872,-0.562244,-0.6328778
"1919",76855,5,6,3,2,2,3,2,3,0,6,6,39.02,43.85,86.72,642.9341,6,0.04681409,-0.02746105,0.2128065
"1920",76856,5,6,2,2,2,3,3,3,0,6,4,85.41,71.39,79.05,453.7677,6,-0.4516872,0.4989672,0.2128065
"1921",76857,2,3,2,2,2,3,2,3,0,6,4,82.41,70.34,17,583.304,6,-0.4516872,-0.02746105,-1.099825
"1922",76860,5,4,2,3,3,2,2,2,-1,2,1,51.56,25.95,74.66,401.397,1,0.4248851,-0.562244,-0.3730681
"1923",76861,3,4,2,1,1,2,2,3,0,4,6,57.38,86.72,84.61,543.7335,6,-1.382489,-0.3293836,-0.6328778
"1924",76866,2,2,1,1,1,1,1,4,-2,2,1,16.38,25.95,50.9,381.5044,2,-2.244308,-1.082085,-1.437731
"1925",76867,4,4,2,3,3,4,4,4,0,4,5,35.34,35.34,79.05,556.8825,6,0.4248851,1.618794,-0.4978889
"1926",76868,1,6,1,2,2,3,3,3,0,0,3,16.38,60.29,78.69,411.1303,4,-0.9560095,0.4989672,-0.3704418
"1927",76869,4,6,3,3,3,2,2,3,0,4,4,14.21,27.52,75.5,529.4873,5,0.9144362,-0.3293836,0.02282897
"1928",76871,2,2,2,2,2,3,3,4,0,4,1,30.9,70.34,50.9,553.4841,3,-0.4516872,0.8083498,-1.437731
"1929",76872,6,6,4,2,5,4,4,4,0,2,2,21.64,70.34,70.34,495.3511,6,1.546424,1.618794,0.5537946
"1930",76873,6,6,1,3,1,2,2,2,0,2,6,50.15,79.05,72.96,514.2432,6,-0.7928739,-0.562244,0.5537946
"1931",76874,2,6,2,2,2,3,3,3,-1,4,4,71.39,51.56,77.1,583.327,6,-0.4516872,0.4989672,-0.2489288
"1932",76875,6,6,3,1,3,3,3,3,0,6,6,76.49,70.34,72.83,508.637,6,-0.1116825,0.4989672,0.5537946
"1933",76877,1,1,2,3,2,4,3,3,0,2,2,26.64,21.13,81.05,459.6103,6,0.07131056,0.9911914,-2.556371
"1934",76878,2,1,5,5,4,3,3,3,-1,6,6,14.21,20.91,50.9,316.787,5,2.866679,0.4989672,-1.939805
"1935",76881,6,6,3,2,4,1,1,2,0,6,1,76.65,24.45,73.91,591.9163,6,0.7561493,-1.352532,0.5537946
"1936",76883,5,3,2,2,2,3,3,3,0,6,6,70.34,70.34,88.7,467.5913,6,-0.4516872,0.4989672,-0.6344056
"1937",76885,6,5,4,1,4,1,1,1,0,6,6,24.53,43.85,78.17,516.4379,6,0.7315291,-1.691467,0.02110125
"1938",76886,6,6,2,2,3,3,3,3,0,0,0,20.35,18.07,55.03,577.4273,6,-0.08687352,0.4989672,0.5537946
"1939",76887,6,6,2,2,2,2,2,2,0,2,1,16.8,26.85,81.92,580.192,6,-0.4516872,-0.562244,0.5537946
"1940",76888,6,6,3,3,2,2,2,2,0,4,0,14.21,59.89,86.72,473.161,6,0.5565133,-0.562244,0.5537946
"1941",76889,5,5,3,2,4,4,4,3,-1,2,2,26.64,50.15,88.96,480.1612,6,0.7561493,1.38799,-0.1234764
"1942",76890,6,6,3,2,2,2,2,3,0,2,2,16.38,30.34,83.09,579.225,6,0.04681409,-0.3293836,0.5537946
"1943",76891,6,6,3,2,4,2,2,2,0,2,2,14.21,30.78,50.9,480.6348,6,0.7561493,-0.562244,0.5537946
"1944",76893,4,3,3,3,3,2,2,2,-1,6,4,75.54,30.59,50.9,411.7742,2,0.9144362,-0.562244,-0.7829273
"1945",76895,6,6,1,5,5,1,1,3,-2,6,6,78.17,75.54,39.04,363.6482,2,1.604712,-1.200891,0.5537946
"1946",76897,6,6,2,3,3,1,2,2,0,2,2,17,39.04,85.85,508.91,6,0.4248851,-0.9420773,0.5537946
"1947",76899,2,4,2,1,2,2,2,2,-1,2,2,17,22.57,58.77,386.5611,5,-0.9817417,-0.562244,-0.7812644
"1948",76902,5,4,4,3,4,2,2,3,-1,0,0,14.21,22.57,23.57,383.2002,2,1.669462,-0.3293836,-0.3730681
"1949",76903,6,5,2,2,2,2,2,2,0,6,6,71.39,58.07,50.9,549.3406,6,-0.4516872,-0.562244,0.02110125
"1950",76904,6,6,3,3,3,2,2,2,0,6,6,50.9,76.98,86.72,559.9637,6,0.9144362,-0.562244,0.5537946
"1951",76905,3,2,3,3,3,3,3,3,0,4,4,46.38,46.38,51.5,450.1235,2,0.9144362,0.4989672,-1.263552
"1952",76907,6,1,5,4,3,3,1,3,0,0,2,23.47,25.95,75.54,537.6985,3,2.135028,-0.5311251,-1.103269
"1953",76908,6,6,2,3,1,2,2,2,-1,5,5,24.98,26.6,62.45,459.4318,4,-0.2902226,-0.562244,0.5537946
"1954",76913,4,3,3,2,2,3,3,3,-1,5,2,16.5,22.57,50.9,476.3956,5,0.04681409,0.4989672,-0.7829273
"1955",76914,5,4,2,2,2,3,3,3,0,2,1,26.64,59.89,85.85,549.2842,6,-0.4516872,0.4989672,-0.3730681
"1956",76916,4,6,3,2,4,4,3,2,0,2,3,17,70.34,86.72,629.9859,6,0.7561493,0.8661966,0.02282897
"1957",76918,6,6,1,1,1,4,4,4,-1,6,6,17,43.85,74.66,473.6293,2,-2.244308,1.618794,0.5537946
"1958",76921,6,5,2,2,2,3,3,3,0,6,6,59.76,65.01,84.14,530.9854,6,-0.4516872,0.4989672,0.02110125
"1959",76923,5,6,2,1,1,2,3,3,0,5,4,28.24,28.7,83.09,581.8183,6,-1.382489,0.06720907,0.2128065
"1960",76924,3,6,3,2,3,3,2,3,0,4,3,19.66,57.03,88.7,644.1953,6,0.400682,-0.02746105,-0.1220425
"1961",76925,6,6,1,2,2,2,1,3,0,1,2,23.41,26.62,60.92,537.9659,5,-0.9560095,-0.9280089,0.5537946
"1962",76929,6,6,3,2,4,2,2,4,0,2,0,26.64,26.62,81.13,558.2879,6,0.7561493,-0.1819333,0.5537946
"1963",76933,6,6,2,2,2,3,3,3,0,5,5,13.24,36.97,83.09,493.2736,3,-0.4516872,0.4989672,0.5537946
"1964",76934,6,5,2,1,3,3,3,3,0,5,4,31.08,41.27,46.76,521.2824,6,-0.6131653,0.4989672,0.02110125
"1965",76935,2,3,3,3,3,1,2,3,-2,2,4,13.87,36.92,72.83,467.378,5,0.9144362,-0.8172016,-1.099825
"1966",76937,6,6,2,2,1,4,4,4,0,2,2,23.47,37.83,70.34,545.8927,6,-0.818102,1.618794,0.5537946
"1967",76938,4,6,2,2,2,4,4,4,0,6,6,70.34,70.34,74.66,552.7008,6,-0.4516872,1.618794,0.02282897
"1968",76940,6,6,2,3,3,2,2,2,0,2,2,17,16.34,85.85,416.0628,6,0.4248851,-0.562244,0.5537946
"1969",76941,6,6,2,2,3,1,2,2,0,6,1,70.89,70.34,83.81,548.39,6,-0.08687352,-0.9420773,0.5537946
"1970",76942,6,4,4,1,1,4,4,2,0,6,6,76.65,43.85,81.92,513.9849,6,-0.3404492,1.244944,-0.2515698
"1971",76944,6,6,2,2,1,4,4,3,0,6,5,84.14,71.39,80.46,662.5914,6,-0.818102,1.38799,0.5537946
"1972",76945,3,1,2,2,4,3,3,2,-1,5,4,24.16,22.57,86.72,449.8878,6,0.2694896,0.242359,-1.647098
"1973",76946,6,6,2,1,4,2,2,4,0,2,5,39.04,30.34,72.83,525.5189,6,-0.2469717,-0.1819333,0.5537946
"1974",76947,2,3,3,2,2,2,2,2,0,1,2,16.38,36.97,50.9,426.872,6,0.04681409,-0.562244,-1.099825
"1975",76950,6,6,2,1,1,2,2,2,0,5,5,21.64,29.16,80.92,540.5806,6,-1.382489,-0.562244,0.5537946
"1976",76951,4,2,2,2,2,2,2,4,0,6,6,76.49,62.45,79.74,559.5615,6,-0.4516872,-0.1819333,-1.101547
"1977",76952,6,5,2,2,3,3,3,3,-1,0,4,51.56,51.56,82.31,465.7623,4,-0.08687352,0.4989672,0.02110125
"1978",76954,6,6,1,1,1,2,2,2,0,4,4,17,70.34,85.85,541.708,6,-2.244308,-0.562244,0.5537946
"1979",76958,4,4,3,3,2,2,2,3,0,3,2,55.25,35.34,68.7,543.519,6,0.5565133,-0.3293836,-0.4978889
"1980",76962,6,6,1,1,1,1,1,1,0,3,4,39.02,23.41,85.85,570.638,6,-2.244308,-1.691467,0.5537946
"1981",76963,6,6,2,1,1,3,3,4,0,4,4,31.08,80.92,78.69,580.0241,6,-1.382489,0.8083498,0.5537946
"1982",76965,3,5,3,2,2,4,4,4,0,6,4,81.05,57.99,79.05,578.102,6,0.04681409,1.618794,-0.3717547
"1983",76968,6,6,4,3,4,1,2,2,0,1,0,23.47,25.63,86.72,442.8901,6,1.669462,-0.9420773,0.5537946
"1984",76970,3,3,4,3,3,2,2,2,-1,2,1,24.98,22.57,50.9,464.3028,1,1.379522,-0.562244,-0.9404002
"1985",76971,6,6,2,2,3,2,2,3,0,3,1,26.64,59.89,78.69,643.6023,5,-0.08687352,-0.3293836,0.5537946
"1986",76973,3,1,3,1,3,3,3,4,-1,2,1,39.02,28.48,88.7,487.3396,2,-0.1116825,0.8083498,-1.647098
"1987",76978,6,1,4,2,2,3,2,2,-1,2,2,18.13,25.95,80.75,492.7359,6,0.532178,-0.1372613,-1.103269
"1988",76983,4,4,3,3,4,1,1,1,0,6,6,76.65,70.34,24.53,556.6059,6,1.260651,-1.691467,-0.4978889
"1989",76984,6,6,3,3,3,2,2,2,0,3,4,25.04,70.34,85.85,579.0389,6,0.9144362,-0.562244,0.5537946
"1990",76986,4,3,3,2,2,3,3,3,0,1,6,21.64,22.57,62.45,531.0112,5,0.04681409,0.4989672,-0.7829273
"1991",76987,4,3,3,3,3,1,1,1,0,6,6,17,71.39,78.69,581.1487,3,0.9144362,-1.691467,-0.7829273
"1992",76988,3,2,4,3,3,1,2,3,-1,1,2,23.41,32.5,26.64,366.9516,2,1.379522,-0.8172016,-1.263552
"1993",76990,4,3,3,2,2,1,1,2,0,1,0,17,11.74,68.7,531.8512,6,0.04681409,-1.352532,-0.7829273
"1994",76991,5,6,3,3,3,3,3,2,0,0,0,68.7,26.6,58.77,553.9501,6,0.9144362,0.242359,0.2128065
"1995",76993,6,6,2,1,3,3,2,4,0,4,4,21.13,39.45,84.14,543.0962,6,-0.6131653,0.08073719,0.5537946
"1996",76996,6,6,3,3,3,4,4,4,0,6,3,88.7,70.34,79.05,598.5925,6,0.9144362,1.618794,0.5537946
"1997",76999,3,3,3,3,3,1,1,1,0,4,4,70.34,62.39,80.92,571.4414,6,0.9144362,-1.691467,-0.9404002
"1998",77004,6,6,2,1,2,2,2,2,0,6,2,86.72,71.39,78.69,630.9742,6,-0.9817417,-0.562244,0.5537946
"1999",77005,6,6,2,2,2,3,3,3,0,5,6,46.76,43.85,79.05,625.9744,6,-0.4516872,0.4989672,0.5537946
"2000",77007,6,6,5,2,3,4,3,4,0,3,1,26.64,30.78,80.92,563.1013,6,1.358086,1.101304,0.5537946
"2001",77008,6,6,1,1,1,3,3,4,0,6,6,71.39,68.7,81.92,579.6146,6,-2.244308,0.8083498,0.5537946
"2002",77010,6,5,1,5,1,2,2,4,0,6,6,85.85,81.13,82.41,581.6372,6,0.2519291,-0.1819333,0.02110125
"2003",77012,6,6,4,3,3,2,2,2,0,6,6,86.72,77.1,88.7,590.111,6,1.379522,-0.562244,0.5537946
"2004",77014,6,6,3,2,2,3,3,4,0,0,0,23.47,15.35,68.7,599.795,6,0.04681409,0.8083498,0.5537946
"2005",77015,4,1,3,2,2,1,2,3,-2,2,6,16.38,22.57,31.08,415.2114,5,0.04681409,-0.8172016,-1.439734
"2006",77017,4,5,2,2,2,3,3,3,0,6,1,58.77,24.16,84.14,496.0966,6,-0.4516872,0.4989672,-0.2502496
"2007",77018,6,6,3,1,3,3,3,3,0,1,3,24.15,36.35,84.14,562.5002,6,-0.1116825,0.4989672,0.5537946
"2008",77019,4,4,1,2,2,3,3,3,-2,2,1,30.9,24.16,51.5,400.3772,1,-0.9560095,0.4989672,-0.4978889
"2009",77020,2,5,2,2,2,4,3,3,-1,6,6,21.64,57.03,62.45,430.0293,4,-0.4516872,0.9911914,-0.4965002
"2010",77023,6,6,2,2,2,3,2,3,0,6,2,43.85,15.35,88.7,696.0574,6,-0.4516872,-0.02746105,0.5537946
"2011",77025,6,6,1,1,1,4,4,4,0,2,2,16.38,17,88.7,627.6189,6,-2.244308,1.618794,0.5537946
"2012",77026,6,6,2,1,2,4,4,3,0,6,4,78.17,51.5,79.05,574.9654,6,-0.9817417,1.38799,0.5537946
"2013",77027,2,3,3,3,3,2,2,4,-2,6,6,51.56,51.56,88.7,339.2447,1,0.9144362,-0.1819333,-1.099825
"2014",77030,2,3,3,3,3,2,2,2,-1,2,2,13.24,40.54,79.74,369.8288,1,0.9144362,-0.562244,-1.099825
"2015",77031,5,6,2,2,3,3,2,2,0,4,2,75.5,16.8,64.44,638.5769,6,-0.08687352,-0.1372613,0.2128065
"2016",77035,6,6,2,2,4,4,4,4,0,4,4,17,51.56,88.7,529.8142,6,0.2694896,1.618794,0.5537946
"2017",77036,4,4,4,3,3,2,1,3,-1,2,1,23.41,37.92,51.5,447.2877,1,1.379522,-0.9280089,-0.4978889
"2018",77038,5,5,3,3,3,3,3,4,0,1,1,16.8,23.8,82.41,474.1836,6,0.9144362,0.8083498,-0.1234764
"2019",77039,6,6,3,2,3,2,1,2,0,5,6,57.37,79.05,68.7,493.6229,6,0.400682,-1.040595,0.5537946
"2020",77040,5,5,3,2,2,4,3,4,0,6,6,70.89,82.41,68.7,582.9479,6,0.04681409,1.101304,-0.1234764
"2021",77041,2,2,2,2,2,2,1,2,-3,4,4,31.08,43.85,37.59,357.7846,3,-0.4516872,-1.040595,-1.437731
"2022",77044,4,3,3,2,3,4,4,4,-1,5,5,24.53,64.44,86.72,536.8426,6,0.400682,1.618794,-0.7829273
"2023",77046,6,6,3,3,3,2,2,2,0,4,4,57.37,51.5,70.34,534.9448,6,0.9144362,-0.562244,0.5537946
"2024",77047,2,2,2,3,3,1,1,1,-2,0,0,24.53,50.15,84.14,299.0657,6,0.4248851,-1.691467,-1.437731
"2025",77048,3,6,1,1,1,2,2,3,-1,4,0,16.38,22.57,62.45,520.2676,5,-2.244308,-0.3293836,-0.1220425
"2026",77050,6,6,3,2,3,2,2,3,0,3,2,43.19,25.95,62.45,613.411,6,0.400682,-0.3293836,0.5537946
"2027",77052,6,6,2,1,1,3,3,2,0,6,2,44.94,70.34,80.92,510.9983,6,-1.382489,0.242359,0.5537946
"2028",77053,5,5,3,1,3,4,4,3,0,4,4,57.99,62.45,80.46,542.8172,6,-0.1116825,1.38799,-0.1234764
"2029",77055,6,6,3,2,2,3,3,3,0,6,6,79.05,70.57,81.92,630.1563,6,0.04681409,0.4989672,0.5537946
"2030",77056,6,6,1,1,2,4,2,1,0,2,0,44.94,36.35,78.76,527.9567,6,-1.555957,0.01222955,0.5537946
"2031",77057,5,6,2,1,2,4,4,4,0,2,4,39.04,59.89,85.85,479.5426,6,-0.9817417,1.618794,0.2128065
"2032",77059,6,6,3,3,3,1,2,3,-2,2,2,31.08,51.5,29.18,433.2832,2,0.9144362,-0.8172016,0.5537946
"2033",77060,4,6,2,3,3,4,4,4,0,1,0,28.48,30.78,79.74,647.0413,6,0.4248851,1.618794,0.02282897
