,ST166Q02HA,ST166Q05HA,ST216Q01HA,ST216Q02HA,ST216Q03HA,FL167Q01HA,FL167Q02HA,FL167Q04HA,GRADE,MISCED,FISCED,BMMJ1,BFMJ2,BSMJ,literacy,sisced
76078,6.0,6.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,4.0,4.0,24.98,51.5,71.39,531.7869,6.0
76080,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,6.0,6.0,76.49,68.54,47.42,491.04650000000004,6.0
76081,6.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,6.0,6.0,51.01,68.77,79.05,627.2328,6.0
76083,5.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,-2.0,6.0,6.0,58.77,81.4,84.14,475.56399999999996,6.0
76084,6.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,6.0,6.0,79.05,81.4,81.92,561.2255000000001,6.0
76085,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,6.0,4.0,70.5,62.13,39.73,448.4469,6.0
76086,6.0,6.0,5.0,5.0,5.0,3.0,3.0,4.0,-2.0,0.0,0.0,14.21,25.78,50.9,405.01539999999994,6.0
76087,5.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,44.14,51.01,80.92,551.2081000000001,6.0
76089,4.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,0.0,6.0,6.0,82.41,68.88,81.92,546.8262,6.0
76091,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,-1.0,5.0,2.0,50.15,50.9,79.74,432.6304999999999,2.0
76092,6.0,6.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,5.0,5.0,65.42,30.78,81.92,598.5121000000001,6.0
76094,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,0.0,1.0,0.0,23.47,30.34,51.5,542.1893,6.0
76098,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,1.0,24.98,33.16,70.5,517.9087999999999,6.0
76100,5.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,76.65,21.96,63.31,594.8606000000001,6.0
76103,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,2.0,5.0,16.38,37.83,43.85,574.4757999999999,6.0
76104,6.0,6.0,2.0,1.0,3.0,4.0,2.0,3.0,0.0,4.0,6.0,76.65,81.4,88.7,619.2376999999999,6.0
76106,5.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,6.0,6.0,68.7,79.74,79.74,552.0826999999999,6.0
